업소명,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
구름초밥,서울특별시 광진구 뚝섬로 678,서울특별시 광진구 자양동 679-25,,37.5319855425,127.0847655076,2025-02-24
무한정 수제돈가스,서울특별시 광진구 군자로 102,서울특별시 광진구 군자동 102-37,02-469-3122,37.5521905589,127.0715400998,2025-02-24
스시붐,서울특별시 광진구 광나루로17길 14-5,서울특별시 광진구 군자동 371-4,02-466-6077,37.5483900333,127.0727604348,2025-02-24
위락,서울특별시 광진구 능동로16길 50,서울특별시 광진구 화양동 514,,37.5450828437,127.0758834272,2025-02-24
하루,서울특별시 광진구 능동로16길 60,서울특별시 광진구 화양동 495-25,,37.5452297114,127.0762954707,2025-02-24
새맛식당,서울특별시 광진구 자양로18길 12-3,서울특별시 광진구 구의동 246-30,02-444-1749,37.5373807700,127.0843371000,2025-02-24
마미가,서울특별시 광진구 아차산로51길 101,서울특별시 광진구 구의동 251-139,02-456-3362,37.5415361200,127.0852953000,2025-02-24
곰곰탕,서울특별시 광진구 용마산로 128 ,서울특별시 광진구 중곡동 18-67,0507-1487-1216,37.5649862000,127.0869205000,2025-02-24
금쪽삼겹,서울특별시 광진구 능동로16길 57,서울특별시 광진구 화양동 495-23,02-6958-5792,37.5453845147,127.0761377729,2025-02-24
래빗컴퍼니(샵 고은별),서울특별시 광진구 자양로26길 19,서울특별시 광진구 구의동 250-8,0507-1366-8786,37.5417593272,127.0851349260,2025-02-24
리플커피 건대입구점,서울특별시 광진구 광나루로24길 20,서울특별시 광진구 화양동 495-19,02-455-5600,37.5454553065,127.0763187849,2025-02-24
차우동짜장,서울특별시 광진구 뚝섬로 472,서울특별시 광진구 자양동 239-1,02-466-2006,37.5366343680,127.0628109290,2025-02-24
베이지크,"서울특별시 광진구 뚝섬로24길 21, 1층",서울특별시 광진구 자양동 54-5,0507-1351-9020,37.5354829015,127.0634624598,2025-02-24
송영옥진주육전냉면,"서울특별시 광진구 능동로47길 4, 1층",서울특별시 광진구 중곡동 165-35,0507-1403-2095,37.5630706900,127.0823784000,2025-02-24
59년 왕십리성수점,"서울특별시 광진구 동일로4길 15, 1층",서울특별시 광진구 자양동 199,02-462-6775,37.5363582224,127.0619371088,2025-02-24
옛골,"서울특별시 광진구 자양로26길 10, 1층",서울특별시 광진구 구의동 251-153,,37.5417527700,127.0846045000,2025-02-24
이계임헤어모드,서울특별시 광진구 자양로15길 101,서울특별시 광진구 자양동 613,02-446-9831,37.5345764353,127.0782755725,2025-02-24
머리천국,서울특별시 광진구 뚝섬로49길 31,서울특별시 광진구 자양동 620-27,02-458-5619,37.5336667798,127.0793633720,2025-02-24
조희미용실,서울특별시 광진구 뚝섬로52나길 25,서울특별시 광진구 자양동 651-3,02-447-0658,37.5306444034,127.0806469766,2025-02-24
모짜르트헤어샵,서울특별시 광진구 자양번영로1길 12,서울특별시 광진구 자양동 584-20,02-447-1623,37.5307498473,127.0742878284,2025-02-24
유나미용실,서울특별시 광진구 동일로4길 44,서울특별시 광진구 자양동 52-162,02-463-7832,37.5358417710,127.0632927090,2025-02-24
헤어포인트,서울특별시 광진구 능동로3길 44,서울특별시 광진구 자양동 57-94,02-498-1746,37.5340405536,127.0651648014,2025-02-24
제이필헤어,서울특별시 광진구 자양로 183,서울특별시 광진구 구의동 254-1,02-3437-4063,37.5439722093,127.0845948594,2025-02-24
이도희머리방,서울특별시 광진구 아차산로36길 39,서울특별시 광진구 자양동 783-1,02-446-9924,37.5363129421,127.0743585178,2025-02-24
갤러리헤어,서울특별시 광진구 동일로72길 46,서울특별시 광진구 중곡동 232-1,02-465-3861,37.5653019700,127.0799419000,2025-02-24
장미미용실,서울특별시 광진구 면목로 167,서울특별시 광진구 중곡동 691-9,02-466-6062,37.5681677559,127.0823218027,2025-02-24
방미헤어컬쳐,서울특별시 광진구 군자로 138,서울특별시 광진구 군자동 64-9,02-462-3711,37.5539659272,127.0746734674,2025-02-24
자이헤어,서울특별시 광진구 광나루로52길 44-1,서울특별시 광진구 구의동 211-58,02-457-9151,37.5403684650,127.0931189430,2025-02-24
헤어아이디,서울특별시 광진구 능동로48길 75,서울특별시 광진구 중곡동 150-149,02-452-0981,37.5620753611,127.0866591890,2025-02-24
윤선영헤어샵,서울특별시 광진구 영화사로 21-1,서울특별시 광진구 중곡동 83-31,02-454-9928,37.5575157402,127.0898427680,2025-02-24
헤어라인,서울특별시 광진구 광나루로30나길 6-1,서울특별시 광진구 구의동 642-1,,37.5436236638,127.0820970116,2025-02-24
서승미헤어,서울특별시 광진구 용마산로24길 6,서울특별시 광진구 중곡동 18-87,02-456-0773,37.5651369200,127.0871777000,2025-02-24
미도미용실,서울특별시 광진구 긴고랑로 149,서울특별시 광진구 중곡동 68-6,02-458-0916,37.5587700000,127.0915150000,2025-02-24
영주머리방,서울특별시 광진구 긴고랑로36길 35,서울특별시 광진구 중곡동 84-33,02-458-7233,37.5577721400,127.0903482000,2025-02-24
양컷퍼드업헤어샵,서울특별시 광진구 뚝섬로 622-1 ,서울특별시 광진구 자양동 606-14,02-454-4447,37.5320827422,127.0788072040,2025-02-24
정은정헤어샵,서울특별시 광진구 자양로28길 10,서울특별시 광진구 구의동 250-44,,37.5422855200,127.0847524000,2025-02-24
초원미용실,서울특별시 광진구 자양로13길 79,서울특별시 광진구 자양동 634-10,02-457-1489,37.5331847116,127.0807409024,2025-02-24
세실리아헤어,"서울특별시 광진구 긴고랑로11길 26, 1층",서울특별시 광진구 중곡동 221-22,02-463-5282,37.5642909800,127.0820261000,2025-02-24
김미라헤어,"서울특별시 광진구 동일로24길 18, 1층",서울특별시 광진구 화양동 44-8,,37.5437708683,127.0660386845,2025-02-24
파랑노랑미용실,서울특별시 광진구 자양로45길 18,서울특별시 광진구 구의동 50-3,,37.5520854388,127.0913559854,2025-02-24
가연미용실,서울특별시 광진구 아차산로30길 39,서울특별시 광진구 자양동 6-20,,37.5389966422,127.0674893368,2025-02-24
채현헤어샵,"서울특별시 광진구 면목로 57, 1층",서울특별시 광진구 중곡동 629-6,02-498-8001,37.5591209000,127.0773168000,2025-02-24
으뜸크리닝,서울특별시 광진구 아차산로51길 74,서울특별시 광진구 구의동 248-55,02-446-1756,37.5401684513,127.0851084504,2025-02-24
그린세탁,서울특별시 광진구 뚝섬로54길 57,서울특별시 광진구 자양동 647-34,02-456-8301,37.5291163465,127.0799235394,2025-02-24
한일세탁,서울특별시 광진구 자양번영로5길 7,서울특별시 광진구 자양동 583-1,02-447-2856,37.5323210771,127.0748995421,2025-02-24
동현세탁,서울특별시 광진구 뚝섬로52라길 65,서울특별시 광진구 자양동 650-34,02-458-6268,37.5293850231,127.0821586740,2025-02-24
한양세탁소,서울특별시 광진구 뚝섬로46길 34,서울특별시 광진구 자양동 599-3,02-452-3769,37.5312491485,127.0764580604,2025-02-24
중원사,서울특별시 광진구 천호대로135길 8,서울특별시 광진구 구의동 57-22,,37.5498676500,127.0922653000,2025-02-24
리오스포토스튜디오,서울특별시 광진구 능동로40길 3,서울특별시 광진구 중곡동 161-43,02-455-6727,37.5583093300,127.0804805000,2025-02-24
진아보석사우나,서울특별시 광진구 자양로15길 109,서울특별시 광진구 자양동 614,02-457-3355,37.5341204452,127.0779937140,2025-02-24
